Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-10-10,ONGC,EQ,411.45,408.0,410.0,403.0,404.6,404.2,405.98,2596303,105405912120000.0,46719,934726,0.36
2014-10-13,ONGC,EQ,404.2,402.8,408.5,397.85,407.0,406.75,403.0,2604905,104977201330000.0,79154,1248525,0.4793
2014-10-14,ONGC,EQ,406.75,407.05,409.45,400.5,402.5,402.15,403.41,3289351,132694736570000.0,93873,1931459,0.5872
2014-10-16,ONGC,EQ,402.15,398.1,408.5,395.0,395.8,397.1,398.35,6089851,242590414410000.0,107578,3690716,0.606
2014-10-17,ONGC,EQ,397.1,397.2,400.15,392.0,398.4,397.1,396.58,4367207,173194000155000.0,75546,2571877,0.5889
2014-10-20,ONGC,EQ,397.1,429.0,429.0,415.0,417.0,419.0,420.51,15253269,641416276960000.0,204295,9861614,0.6465000000000001
2014-10-21,ONGC,EQ,419.0,420.0,420.9,405.55,408.1,408.0,411.18,6531384,268559763875000.0,88020,3716208,0.569
2014-10-22,ONGC,EQ,408.0,411.45,412.0,396.55,399.95,399.45,401.23,7741580,310616675125000.0,94399,4849469,0.6264000000000001
2014-10-23,ONGC,EQ,399.45,404.9,404.9,401.2,403.3,403.45,403.18,677850,27329761814999.996,9736,396591,0.5851
2014-10-27,ONGC,EQ,403.45,405.15,406.0,393.6,394.4,394.65,398.41,3123606,124447221265000.02,56513,1979569,0.6337
2014-10-28,ONGC,EQ,394.65,396.5,397.75,388.65,392.5,391.7,392.36,5243799,205748221770000.0,89437,3573136,0.6814
2014-10-29,ONGC,EQ,391.7,395.6,396.35,391.35,393.1,392.8,393.51,4119492,162107579210000.0,69525,2622962,0.6367
2014-10-30,ONGC,EQ,392.8,392.8,398.0,392.55,396.85,395.9,396.09,5152550,204088355855000.0,66129,3285141,0.6376
2014-10-31,ONGC,EQ,395.9,399.15,406.65,397.65,405.15,405.15,403.53,5805955,234289777465000.0,79071,3702297,0.6377
2014-11-03,ONGC,EQ,405.15,406.0,408.0,403.05,404.35,404.55,405.24,3866634,156692520900000.0,78880,2520627,0.6519
2014-11-05,ONGC,EQ,404.55,406.25,407.6,400.1,403.95,403.6,402.81,4788795,192898351010000.0,149691,3557997,0.743
