Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-08-29,WOCKPHARMA,EQ,818.45,819.0,832.45,804.25,820.75,820.05,818.9,946807,77534100885000.0,22202,102298,0.10800000000000001
2016-08-30,WOCKPHARMA,EQ,820.05,825.0,835.6,823.3,830.0,830.25,830.33,765404,63553699970000.01,17893,164233,0.2146
2016-08-31,WOCKPHARMA,EQ,830.25,830.15,838.5,814.0,817.0,817.65,827.88,740574,61310773170000.01,18610,145615,0.1966
2016-09-01,WOCKPHARMA,EQ,817.65,817.0,828.8,802.0,811.0,809.2,816.06,674877,55074333485000.0,16553,86353,0.128
2016-09-02,WOCKPHARMA,EQ,809.2,813.0,824.4,805.5,816.3,816.95,813.77,724733,58976739685000.0,17323,129174,0.1782
2016-09-06,WOCKPHARMA,EQ,816.95,817.0,828.8,817.0,821.65,821.2,822.48,448117,36856620220000.0,12120,82576,0.1843
2016-09-07,WOCKPHARMA,EQ,821.2,823.6,839.7,817.25,833.0,832.1,831.23,957839,79618643290000.0,21454,288645,0.3014
2016-09-08,WOCKPHARMA,EQ,832.1,835.7,883.4,830.0,880.0,876.95,857.74,2337594,200504456580000.0,53589,526241,0.22510000000000002
2016-09-09,WOCKPHARMA,EQ,876.95,881.4,889.15,851.0,853.8,856.55,873.26,1879430,164123501485000.0,45568,343137,0.1826
2016-09-12,WOCKPHARMA,EQ,856.55,839.0,846.0,815.0,820.8,818.65,829.97,1084749,90031048095000.0,31546,284151,0.262
2016-09-14,WOCKPHARMA,EQ,818.65,826.0,842.5,820.0,830.3,831.85,830.45,1061801,88177447070000.0,26627,202347,0.1906
2016-09-15,WOCKPHARMA,EQ,831.85,833.8,849.7,832.05,837.5,837.75,841.71,736948,62029784270000.01,18318,115098,0.1562
2016-09-16,WOCKPHARMA,EQ,837.75,845.3,958.95,843.0,910.0,909.65,911.02,9708546,884469471890000.0,209559,1047034,0.10779999999999999
2016-09-19,WOCKPHARMA,EQ,909.65,917.0,931.1,883.05,888.0,890.65,902.07,3221327,290585489230000.0,74646,646517,0.20070000000000002
