Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-02-20,SBIN,EQ,269.35,269.9,271.55,268.0,269.5,269.65,269.51,9229363,248743783390000.0,57805,3475091,0.3765
2017-02-21,SBIN,EQ,269.65,270.0,271.5,268.65,270.75,270.7,270.13,7754157,209465256815000.0,80298,2664456,0.3436
2017-02-22,SBIN,EQ,270.7,271.9,274.7,269.5,271.7,272.3,272.59,12617613,343948657985000.0,112129,4806179,0.3809
2017-02-23,SBIN,EQ,272.3,271.7,273.0,269.6,270.5,270.45,271.29,13146194,356648278575000.0,84162,7243813,0.551
2017-02-27,SBIN,EQ,270.45,270.8,271.45,267.6,268.2,268.25,269.02,9645350,259479159930000.03,68463,4606438,0.47759999999999997
2017-02-28,SBIN,EQ,268.25,268.9,271.25,268.0,269.0,269.2,269.49,7941592,214020476875000.0,65573,2816662,0.3547
2017-03-01,SBIN,EQ,269.2,270.0,273.3,269.8,271.7,271.75,271.94,7656892,208223212350000.0,58629,2004506,0.2618
2017-03-02,SBIN,EQ,271.75,273.0,274.7,266.5,267.2,267.3,270.99,14220808,385374949790000.0,80696,4596797,0.3232
2017-03-03,SBIN,EQ,267.3,266.25,268.9,264.25,265.55,265.05,265.78,10120034,268969512590000.0,75478,3907290,0.3861
2017-03-06,SBIN,EQ,265.05,266.6,270.35,266.35,270.2,269.85,268.37,9515073,255357550344999.97,63033,3982426,0.41850000000000004
2017-03-07,SBIN,EQ,269.85,270.8,270.9,266.4,267.7,267.8,267.78,11599142,310606585595000.0,65023,6347327,0.5472
2017-03-08,SBIN,EQ,267.8,267.8,270.3,266.0,270.05,269.9,268.62,9122987,245064491719999.97,65561,3081623,0.33780000000000004
2017-03-09,SBIN,EQ,269.9,269.0,273.9,268.4,273.15,273.25,272.15,15594429,424408642560000.0,95804,7576329,0.4858
2017-03-10,SBIN,EQ,273.25,274.5,275.55,269.5,271.9,272.05,272.67,9557026,260592057119999.97,77178,3246642,0.3397
2017-03-14,SBIN,EQ,272.05,278.4,278.4,273.8,274.75,274.65,275.43,15734886,433392769720000.0,108786,7747107,0.4924
2017-03-15,SBIN,EQ,274.65,272.65,280.5,272.65,276.55,277.35,277.95,20055974,557454941664999.94,127137,9841167,0.4907
2017-03-16,SBIN,EQ,277.35,278.0,280.2,276.05,279.05,279.3,278.38,18005184,501222685250000.0,139878,8827321,0.4903
2017-03-17,SBIN,EQ,279.3,279.45,279.5,273.5,274.0,274.15,275.1,14265642,392449483925000.0,95520,7240757,0.5075999999999999
2017-03-20,SBIN,EQ,274.15,274.75,274.75,271.8,273.9,273.9,273.41,9678185,264606587085000.0,71526,4612235,0.47659999999999997
2017-03-21,SBIN,EQ,273.9,274.4,277.05,270.15,272.75,272.35,273.52,11898233,325439584095000.0,72969,4944113,0.4155
2017-03-22,SBIN,EQ,272.35,270.3,271.0,266.8,267.75,267.5,268.74,9887203,265710965550000.0,97564,4670186,0.4723
2017-03-23,SBIN,EQ,267.5,269.0,269.4,266.7,268.65,268.5,268.14,7998170,214464760690000.0,77028,4061076,0.5078
2017-03-24,SBIN,EQ,268.5,269.5,278.95,268.65,275.95,276.5,275.33,20133467,554326141210000.06,135209,8243224,0.4094
2017-03-27,SBIN,EQ,276.5,276.0,280.8,275.2,278.9,279.45,278.73,15966114,445023693475000.0,103411,5464685,0.3423
2017-03-28,SBIN,EQ,279.45,280.65,282.9,278.5,282.2,282.1,280.87,18673371,524484924775000.0,89603,10584347,0.5668
2017-03-29,SBIN,EQ,282.1,283.15,289.9,283.15,288.7,288.45,287.1,31008407,890236294679999.9,160418,16769893,0.5408
2017-03-30,SBIN,EQ,288.45,289.0,293.75,288.85,291.4,291.05,291.33,19683170,573434014245000.0,111949,7306917,0.3712
2017-03-31,SBIN,EQ,291.05,292.0,295.0,288.5,293.3,293.4,292.77,20185269,590972095010000.0,121335,6436380,0.3189
2017-04-03,SBIN,EQ,293.4,294.8,295.7,292.2,293.4,293.15,293.83,10509610,308804724730000.0,63796,3224137,0.3068
2017-04-05,SBIN,EQ,293.15,293.3,298.75,289.65,297.0,297.35,294.71,21936647,646501848685000.0,143045,9434760,0.4301
2017-04-06,SBIN,EQ,297.35,295.45,297.55,291.45,292.25,292.85,294.35,18413111,541986968645000.0,90051,6325489,0.3435
2017-04-07,SBIN,EQ,292.85,291.7,294.8,287.65,288.3,289.45,292.04,10765502,314391604945000.0,67483,3287133,0.3053
2017-04-10,SBIN,EQ,289.45,289.8,290.35,286.55,290.0,289.35,288.81,10307875,297705746435000.0,95079,3192927,0.3098
2017-04-11,SBIN,EQ,289.35,289.3,295.15,288.8,294.3,294.5,292.69,11682024,341923356165000.0,93318,4281388,0.3665
