Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-26,BHEL,EQ,81.4,81.9,82.55,80.65,82.1,82.25,81.7,5569982,45509183480000.0,18292,1550582,0.2784
2018-03-27,BHEL,EQ,82.25,83.0,83.25,81.75,82.7,82.8,82.62,5473439,45223055860000.0,21522,1553199,0.2838
2018-03-28,BHEL,EQ,82.8,82.4,82.65,80.9,81.3,81.35,81.83,5314016,43482985590000.0,23612,2438539,0.45890000000000003
2018-04-02,BHEL,EQ,81.35,82.1,82.85,81.55,82.5,82.45,82.09,5985693,49138376930000.0,26691,2256025,0.3769
2018-04-03,BHEL,EQ,82.45,82.5,86.15,82.3,85.75,85.7,84.38,7649561,64544898040000.0,27097,2593104,0.33899999999999997
2018-04-04,BHEL,EQ,85.7,85.65,87.6,84.7,84.9,85.15,86.0,10485067,90171955895000.0,32260,4151652,0.396
2018-04-05,BHEL,EQ,85.15,86.5,87.6,86.3,87.05,87.2,86.99,5368585,46703523540000.0,23386,1627765,0.3032
2018-04-06,BHEL,EQ,87.2,87.35,88.0,86.2,87.35,87.6,87.12,3637880,31693807330000.0,13055,798256,0.2194
2018-04-09,BHEL,EQ,87.6,87.55,89.3,87.35,88.25,88.5,88.55,6272615,55541524695000.01,20265,2470906,0.39390000000000003
2018-04-10,BHEL,EQ,88.5,88.6,89.1,87.65,88.95,88.95,88.6,3649228,32332411700000.0,12645,1326540,0.36350000000000005
2018-04-11,BHEL,EQ,88.95,88.8,91.0,88.4,90.55,90.6,90.07,7215318,64987398520000.01,29072,2639771,0.36590000000000006
2018-04-12,BHEL,EQ,90.6,90.85,91.15,88.9,89.25,89.25,89.96,3665255,32971840075000.0,15905,797221,0.2175
2018-04-13,BHEL,EQ,89.25,89.5,89.8,87.95,88.15,88.2,88.81,2812919,24982196575000.0,11748,544285,0.1935
2018-04-16,BHEL,EQ,88.2,88.0,88.7,86.85,88.5,88.45,87.81,2292212,20126883195000.0,10061,422704,0.1844
2018-04-17,BHEL,EQ,88.45,88.9,89.25,87.65,88.0,88.15,88.33,2758598,24365640800000.0,10643,712568,0.2583
2018-04-18,BHEL,EQ,88.15,88.45,88.95,87.4,87.55,87.85,88.28,2178827,19234080370000.0,9407,555397,0.2549
