Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-26,FEDERALBNK,EQ,90.65,90.5,91.9,89.75,91.65,91.55,90.79,12901870,117141857605000.0,39638,8296228,0.643
2018-03-27,FEDERALBNK,EQ,91.55,92.25,92.95,90.6,90.95,90.9,91.89,19580894,179920448195000.0,37418,14069778,0.7184999999999999
2018-03-28,FEDERALBNK,EQ,90.9,90.5,90.85,89.0,89.35,89.2,89.68,9473639,84960282175000.0,26900,5105065,0.5389
2018-04-02,FEDERALBNK,EQ,89.2,90.05,90.9,89.4,90.25,90.2,90.17,8552730,77119046525000.0,24289,4454097,0.5208
2018-04-03,FEDERALBNK,EQ,90.2,90.0,92.05,89.9,91.75,91.55,90.53,9150580,82839011075000.0,23159,5953543,0.6506000000000001
2018-04-04,FEDERALBNK,EQ,91.55,92.25,93.95,91.25,91.55,91.4,92.52,11087955,102583805900000.0,52696,3891674,0.35100000000000003
2018-04-05,FEDERALBNK,EQ,91.4,92.7,94.05,92.15,93.5,93.5,93.05,9312599,86658095435000.0,38328,4679112,0.5024000000000001
2018-04-06,FEDERALBNK,EQ,93.5,93.5,97.9,92.5,97.0,97.25,95.07,15000463,142602965335000.0,48322,7359518,0.49060000000000004
2018-04-09,FEDERALBNK,EQ,97.25,97.2,99.55,96.1,99.5,98.5,97.64,10241862,99997250020000.0,29848,2726258,0.2662
2018-04-10,FEDERALBNK,EQ,98.5,101.2,101.2,96.2,96.6,96.75,98.27,18974579,186467716175000.0,62252,7195346,0.37920000000000004
2018-04-11,FEDERALBNK,EQ,96.75,97.45,99.7,96.25,98.75,99.1,98.2,14770335,145044061525000.0,47954,4626202,0.31320000000000003
2018-04-12,FEDERALBNK,EQ,99.1,98.7,100.0,97.85,98.5,98.65,99.03,12333485,122136725055000.0,57912,4783382,0.38780000000000003
2018-04-13,FEDERALBNK,EQ,98.65,99.4,100.1,98.3,98.65,98.65,99.23,10223762,101451532435000.0,25708,3696647,0.3616
2018-04-16,FEDERALBNK,EQ,98.65,98.3,99.2,97.7,98.4,98.4,98.5,5092715,50164251215000.0,17368,1943116,0.3815
2018-04-17,FEDERALBNK,EQ,98.4,99.1,100.0,97.95,99.15,99.35,98.91,7775197,76903364435000.0,24301,2366988,0.3044
