Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-26,ONGC,EQ,177.4,179.45,179.45,176.0,179.05,178.9,177.66,4169998,74084005390000.0,59348,1912726,0.4587
2018-03-27,ONGC,EQ,178.9,180.55,181.1,177.25,179.45,179.6,178.71,3823981,68337198270000.01,26600,2137292,0.5589000000000001
2018-03-28,ONGC,EQ,179.6,178.5,179.0,176.1,177.8,177.8,177.43,6229049,110524647745000.0,75377,3408206,0.5471
2018-04-02,ONGC,EQ,177.8,179.1,180.9,178.4,180.3,179.95,179.67,2235832,40170612255000.0,41523,1187168,0.531
2018-04-03,ONGC,EQ,179.95,177.7,179.2,176.4,177.3,177.5,177.42,3552271,63024478379999.99,70452,1729606,0.4869
2018-04-04,ONGC,EQ,177.5,178.5,178.5,174.7,175.0,175.4,176.01,3353172,59017772965000.0,40168,1670027,0.498
2018-04-05,ONGC,EQ,175.4,176.5,177.9,175.45,177.7,177.45,176.7,5375271,94980504015000.0,32019,3699027,0.6881999999999999
2018-04-06,ONGC,EQ,177.45,179.35,179.35,176.4,177.0,176.95,177.44,3633964,64480167245000.01,34066,1893050,0.5209
2018-04-09,ONGC,EQ,176.95,177.1,179.15,176.3,178.95,178.4,177.94,4046065,71994510300000.0,33641,2477124,0.6122
2018-04-10,ONGC,EQ,178.4,179.4,180.6,178.2,180.0,180.2,179.67,5180326,93073165525000.0,53050,3838739,0.741
2018-04-11,ONGC,EQ,180.2,181.5,185.4,180.35,181.85,182.15,183.03,11607043,212444336580000.0,65826,4967940,0.428
2018-04-12,ONGC,EQ,182.15,183.15,184.0,181.0,181.7,181.75,182.24,4277125,77946109635000.0,38400,1959072,0.45799999999999996
2018-04-13,ONGC,EQ,181.75,181.8,183.5,181.1,182.45,182.5,182.3,3050131,55603266135000.0,32362,1718578,0.5634
2018-04-16,ONGC,EQ,182.5,182.2,182.35,179.8,181.5,181.5,181.11,2308502,41808411350000.0,34118,1252193,0.5424
2018-04-17,ONGC,EQ,181.5,181.75,182.1,179.3,180.65,180.8,180.25,2721706,49059988230000.0,26395,1771540,0.6509
2018-04-18,ONGC,EQ,180.8,181.05,182.95,181.0,182.5,182.1,182.03,3279393,59694414510000.0,21359,2135592,0.6512000000000001
2018-04-19,ONGC,EQ,182.1,183.25,186.25,181.75,184.6,183.95,184.15,5004280,92154462790000.0,31607,2139707,0.4276
2018-04-20,ONGC,EQ,183.95,185.0,185.0,181.1,182.3,182.35,182.41,1618027,29514433360000.004,20191,744533,0.4601
2018-04-23,ONGC,EQ,182.35,183.4,183.75,179.4,181.0,181.05,181.0,3930421,71141773955000.0,70498,2137615,0.5439
2018-04-24,ONGC,EQ,181.05,182.1,183.05,181.5,182.7,182.65,182.58,4080212,74498343015000.0,43652,2464694,0.6041
2018-04-25,ONGC,EQ,182.65,181.6,182.45,178.7,179.5,179.45,179.68,3629856,65222790035000.0,30767,1986134,0.5472
2018-04-26,ONGC,EQ,179.45,179.45,181.8,177.3,180.25,180.8,179.92,6742459,121311718000000.0,40484,4638966,0.688
2018-04-27,ONGC,EQ,180.8,180.95,183.0,179.55,181.5,180.7,180.94,4687951,84823204965000.0,50524,3024672,0.6452
2018-04-30,ONGC,EQ,180.7,178.5,181.95,178.3,180.7,180.55,180.62,3335191,60241543504999.99,34937,2331904,0.6992
2018-05-02,ONGC,EQ,180.55,181.5,181.5,179.25,180.35,180.05,180.27,4157973,74956692045000.0,43658,2923517,0.7031000000000001
2018-05-03,ONGC,EQ,180.05,179.95,182.35,179.7,180.75,181.1,181.12,2796713,50652814535000.0,27854,1764994,0.6311
2018-05-04,ONGC,EQ,181.1,181.8,185.15,179.55,180.25,180.25,182.62,5325720,97256657770000.0,39539,2246044,0.4217
2018-05-07,ONGC,EQ,180.25,181.25,184.5,180.8,184.15,183.9,182.61,4799480,87645079770000.0,35215,3108507,0.6476999999999999
2018-05-08,ONGC,EQ,183.9,184.85,186.15,179.45,182.9,183.1,183.56,5730645,105192166955000.0,48090,2487843,0.4341
2018-05-09,ONGC,EQ,183.1,184.4,185.75,182.2,182.65,182.85,183.33,3075560,56384188020000.01,18725,1214857,0.395
2018-05-10,ONGC,EQ,182.85,184.45,189.35,183.5,187.85,188.25,187.22,10328901,193372903050000.0,68014,3169960,0.3069
2018-05-11,ONGC,EQ,188.25,188.55,189.0,186.3,187.7,187.5,187.73,4926216,92480103495000.0,40711,2283317,0.4635
2018-05-14,ONGC,EQ,187.5,187.5,188.5,184.85,187.3,187.25,186.52,3255344,60718811450000.0,35214,1766784,0.5427000000000001
2018-05-15,ONGC,EQ,187.25,189.0,192.0,184.2,188.9,189.0,190.07,5877427,111711882520000.0,50692,2510542,0.42710000000000004
2018-05-16,ONGC,EQ,189.0,188.95,188.95,175.8,185.4,186.2,186.71,8348946,155886697710000.0,50468,5649099,0.6766
2018-05-17,ONGC,EQ,186.2,185.95,189.4,184.95,188.5,188.6,187.7,4519306,84826139740000.0,44719,2397987,0.5306000000000001
2018-05-18,ONGC,EQ,188.6,189.0,191.75,184.6,185.15,185.05,188.58,4488003,84636313800000.0,44257,1484312,0.3307
2018-05-21,ONGC,EQ,185.05,186.45,188.65,185.2,185.85,185.75,186.9,3380355,63178720310000.0,57405,1893341,0.5601
2018-05-22,ONGC,EQ,185.75,186.2,188.5,184.0,185.3,185.2,185.85,3796268,70555123820000.0,55316,1559736,0.41090000000000004
2018-05-23,ONGC,EQ,185.2,183.9,185.35,174.3,175.35,175.4,179.58,5590802,100397575670000.0,62788,2782562,0.49770000000000003
2018-05-24,ONGC,EQ,175.4,175.6,176.1,155.15,167.7,167.7,164.02,34819270,571102077320000.0,157184,10713285,0.30770000000000003
2018-05-25,ONGC,EQ,167.7,166.0,176.2,162.85,175.15,175.45,171.02,12361678,211404932745000.0,106047,3247436,0.2627
2018-05-28,ONGC,EQ,175.45,175.0,178.8,173.7,175.7,175.6,175.54,8087040,141957371835000.0,110032,3914761,0.4841
2018-05-29,ONGC,EQ,175.6,176.2,177.4,173.25,175.15,175.55,174.94,11015160,192701368295000.0,68208,7313816,0.664
2018-05-30,ONGC,EQ,175.55,175.4,178.5,172.7,174.5,174.0,174.39,12554659,218936429394999.97,61210,7310394,0.5822999999999999
2018-05-31,ONGC,EQ,174.0,177.7,180.35,175.05,177.9,177.9,178.02,23822373,424093803130000.0,105511,12909765,0.5418999999999999
2018-06-01,ONGC,EQ,177.9,176.0,176.0,170.6,172.8,173.2,172.93,9847581,170290469360000.0,69266,4583031,0.4654
2018-06-04,ONGC,EQ,173.2,175.4,175.4,170.4,170.5,171.1,172.51,5294603,91337536075000.0,46860,2118243,0.4001
2018-06-05,ONGC,EQ,171.1,170.5,172.3,169.2,171.2,171.2,171.18,5918946,101320202520000.0,50913,3869884,0.6537999999999999
2018-06-06,ONGC,EQ,171.2,171.25,172.25,169.8,171.15,170.3,171.1,3331408,57000235190000.0,49937,1804987,0.5418000000000001
2018-06-07,ONGC,EQ,170.3,170.1,173.75,170.1,173.0,172.65,172.58,5086661,87785354450000.0,42788,3112903,0.612
2018-06-08,ONGC,EQ,172.65,174.0,174.9,172.1,173.0,173.7,173.61,4323567,75060526980000.0,78713,1731025,0.4004
2018-06-11,ONGC,EQ,173.7,174.05,174.3,172.5,173.3,173.3,173.24,3192749,55310035104999.99,40967,1999722,0.6263000000000001
2018-06-12,ONGC,EQ,173.3,172.85,175.6,170.8,171.55,171.4,173.17,4564556,79042501665000.0,54806,2514475,0.5509000000000001
2018-06-13,ONGC,EQ,171.4,170.8,172.0,168.6,170.4,170.0,169.98,5321172,90446947400000.0,52283,3291655,0.6186
2018-06-14,ONGC,EQ,170.0,169.5,170.8,167.0,168.6,168.5,168.37,4188442,70521426820000.0,37016,2327696,0.5557
2018-06-15,ONGC,EQ,168.5,166.4,168.3,164.55,165.65,165.45,165.91,7589493,125917169775000.0,85287,5163115,0.6803
2018-06-18,ONGC,EQ,165.45,164.9,167.4,163.25,165.0,164.6,164.75,4390244,72330555545000.0,57281,2320921,0.5287
2018-06-19,ONGC,EQ,164.6,165.4,166.8,163.5,164.05,164.8,165.19,4413184,72901467905000.0,38030,2399445,0.5437
2018-06-20,ONGC,EQ,164.8,165.0,165.0,162.15,162.55,162.75,162.92,5768211,93974081640000.0,66544,3347852,0.5804
2018-06-21,ONGC,EQ,162.75,163.7,163.7,158.25,160.1,159.7,159.81,12638114,201963820410000.0,97706,8898961,0.7041
2018-06-22,ONGC,EQ,159.7,160.65,160.65,158.65,159.4,159.55,159.38,5371207,85607617710000.0,52461,2986652,0.556
2018-06-25,ONGC,EQ,159.55,160.35,160.7,156.1,156.75,156.65,157.2,5899032,92730065415000.0,50719,3248949,0.5508
2018-06-26,ONGC,EQ,156.65,156.4,158.9,156.05,158.25,158.3,157.49,5960446,93870424805000.0,70682,3283578,0.5509000000000001
2018-06-27,ONGC,EQ,158.3,158.35,158.85,154.45,156.25,156.25,156.06,7034207,109773087780000.0,63748,4116041,0.5851
2018-06-28,ONGC,EQ,156.25,156.3,158.6,151.8,155.25,153.5,155.05,17670403,273987425735000.0,87862,12221347,0.6916
2018-06-29,ONGC,EQ,153.5,155.15,159.35,154.15,158.0,158.4,157.87,7079407,111761119959999.98,52405,3819052,0.5395000000000001
2018-07-02,ONGC,EQ,158.4,157.85,158.0,153.5,155.35,155.5,155.15,9196529,142681308405000.0,43400,5138622,0.5588000000000001
2018-07-03,ONGC,EQ,155.5,155.05,161.6,154.7,157.95,157.7,159.22,12087830,192466093015000.0,91199,3970689,0.3285
2018-07-04,ONGC,EQ,157.7,157.8,158.0,155.05,156.0,156.0,155.91,5194030,80982150275000.0,37369,2251953,0.4336
