Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-26,SBIN,EQ,234.8,234.75,247.85,234.25,247.2,246.5,241.69,30373940,734100962405000.0,191534,8518273,0.2804
2018-03-27,SBIN,EQ,246.5,250.0,255.5,248.0,253.4,254.35,252.05,31205051,786511141745000.0,186644,8200394,0.26280000000000003
2018-03-28,SBIN,EQ,254.35,252.0,256.2,248.7,249.25,249.9,251.61,36673566,922754985535000.0,167989,14627534,0.39890000000000003
2018-04-02,SBIN,EQ,249.9,251.8,252.0,244.9,246.0,246.15,247.21,14993188,370652222315000.0,107701,2746163,0.1832
2018-04-03,SBIN,EQ,246.15,249.55,252.8,248.25,250.95,250.5,250.35,19883309,497777733745000.0,113047,3126786,0.1573
2018-04-04,SBIN,EQ,250.5,251.7,253.0,245.5,246.7,247.3,249.33,18824449,469347217800000.0,109181,5025914,0.267
2018-04-05,SBIN,EQ,247.3,252.6,261.9,250.0,260.8,259.3,255.0,22880821,583453591045000.0,154532,6073885,0.2655
2018-04-06,SBIN,EQ,259.3,259.65,261.45,254.85,258.75,259.7,258.38,24868860,642562272480000.0,187342,5294380,0.2129
2018-04-09,SBIN,EQ,259.7,260.65,262.75,257.6,259.85,260.65,260.74,20208874,526926903389999.94,122085,3379791,0.1672
2018-04-10,SBIN,EQ,260.65,261.1,265.0,258.5,263.15,263.3,261.62,21201141,554673741655000.0,128190,5747671,0.2711
2018-04-11,SBIN,EQ,263.3,263.0,263.0,256.3,257.4,257.05,258.33,14885838,384548056595000.0,99011,3275288,0.22
2018-04-12,SBIN,EQ,257.05,257.5,257.5,252.25,253.9,253.8,254.2,18660913,474366584495000.0,102493,5895247,0.3159
2018-04-13,SBIN,EQ,253.8,254.0,255.95,249.7,250.8,250.95,252.57,25654020,647941724520000.0,123494,9468922,0.3691
2018-04-16,SBIN,EQ,250.95,249.35,251.3,247.1,249.0,249.0,249.11,16408377,408750269665000.0,91738,5294767,0.32270000000000004
2018-04-17,SBIN,EQ,249.0,251.4,252.5,246.6,248.15,248.15,249.5,15922452,397260955540000.0,101479,2950065,0.18530000000000002
2018-04-18,SBIN,EQ,248.15,249.5,249.9,245.3,247.0,246.45,247.67,16142387,399798708170000.0,137163,4858565,0.30100000000000005
2018-04-19,SBIN,EQ,246.45,247.1,248.45,245.2,246.7,246.15,246.67,13166927,324790709010000.0,79014,4303771,0.32689999999999997
2018-04-20,SBIN,EQ,246.15,245.85,245.85,239.5,241.85,241.2,241.56,15546939,375549869495000.0,115151,4192843,0.2697
2018-04-23,SBIN,EQ,241.2,241.9,244.85,239.3,242.4,242.45,242.55,12111837,293777383195000.0,75286,1777265,0.1467
