Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-26,TAKE,EQ,154.3,154.1,165.35,152.8,165.0,164.05,160.24,260249,4170223475000.0,6438,139067,0.5344
2018-03-27,TAKE,EQ,164.05,167.75,169.9,162.5,168.3,166.5,167.12,186699,3120156570000.0,3571,78133,0.41850000000000004
2018-03-28,TAKE,EQ,166.5,165.0,168.0,162.35,163.0,163.65,164.73,128791,2121547764999.9998,4544,61523,0.4777
2018-04-02,TAKE,EQ,163.65,163.05,172.0,163.05,169.55,170.3,168.7,145150,2448659290000.0,4554,54534,0.37570000000000003
2018-04-03,TAKE,EQ,170.3,167.5,174.8,167.5,174.0,173.1,172.12,103469,1780859939999.9998,4755,60831,0.5879
2018-04-04,TAKE,EQ,173.1,174.8,175.8,171.5,172.8,172.85,173.46,223601,3878531629999.9995,12746,165027,0.738
2018-04-05,TAKE,EQ,172.85,173.4,175.8,171.95,174.15,174.15,174.01,147761,2571224285000.0,4876,89301,0.6043999999999999
2018-04-06,TAKE,EQ,174.15,175.0,175.6,174.05,175.0,175.0,175.02,105756,1850951120000.0,2811,82976,0.7846
2018-04-09,TAKE,EQ,175.0,175.85,201.45,172.55,194.9,194.35,190.05,3225777,61306672010000.0,39998,991509,0.3074
2018-04-10,TAKE,EQ,194.35,195.4,199.7,189.55,192.55,191.55,195.29,1682688,32861600464999.996,32359,640585,0.38070000000000004
2018-04-11,TAKE,EQ,191.55,192.3,192.55,186.05,187.3,186.9,188.12,310343,5838107375000.0,11513,162819,0.5246000000000001
2018-04-12,TAKE,EQ,186.9,186.95,194.0,186.55,189.45,190.4,190.46,655825,12491168300000.0,19217,282034,0.43
2018-04-13,TAKE,EQ,190.4,192.0,192.0,183.4,183.5,184.0,187.13,575343,10766337285000.0,5274,308948,0.537
2018-04-16,TAKE,EQ,184.0,182.4,188.0,180.85,186.25,186.35,185.35,553661,10262031745000.0,10815,309251,0.5586
2018-04-17,TAKE,EQ,186.35,187.2,203.0,185.1,198.95,198.75,196.0,1752583,34349939155000.0,22711,517372,0.2952
2018-04-18,TAKE,EQ,198.75,199.45,204.35,191.2,196.8,195.05,198.9,1011666,20121651160000.0,15122,427104,0.4222
2018-04-19,TAKE,EQ,195.05,196.6,215.8,196.6,208.55,209.6,209.23,3239278,67776603015000.0,38137,1174276,0.3625
2018-04-20,TAKE,EQ,209.6,208.95,213.0,205.05,207.0,207.65,209.21,1106206,23143305670000.0,29494,435912,0.39409999999999995
2018-04-23,TAKE,EQ,207.65,208.0,213.0,203.45,206.3,206.25,208.53,1012630,21116507505000.0,22883,417272,0.4121
2018-04-24,TAKE,EQ,206.25,206.75,215.8,206.75,207.75,208.75,210.22,1525990,32079079660000.004,25423,639109,0.41880000000000006
2018-04-25,TAKE,EQ,208.75,209.2,220.5,206.0,211.9,212.6,214.05,1851706,39635349325000.0,21658,739156,0.3992
2018-04-26,TAKE,EQ,212.6,213.05,223.0,211.0,219.95,219.65,219.2,1813116,39744196365000.0,19305,786654,0.4339
2018-04-27,TAKE,EQ,219.65,221.5,227.35,218.5,223.4,224.1,223.42,999000,22319396845000.0,18393,406184,0.40659999999999996
2018-04-30,TAKE,EQ,224.1,224.3,224.95,214.65,215.5,215.5,218.97,379618,8312419709999.999,5163,173060,0.4559
2018-05-02,TAKE,EQ,215.5,216.45,221.85,215.2,218.5,218.7,218.75,407863,8921923760000.0,9784,230959,0.5663
2018-05-03,TAKE,EQ,218.7,219.0,222.95,211.25,217.0,217.6,218.01,376864,8216079700000.0,11340,211163,0.5603
2018-05-04,TAKE,EQ,217.6,217.95,218.5,213.25,216.0,215.1,215.83,109511,2363580065000.0,3239,53485,0.48840000000000006
2018-05-07,TAKE,EQ,215.1,215.55,219.9,215.1,217.9,217.4,217.37,178121,3871872665000.0,3277,113662,0.6381
2018-05-08,TAKE,EQ,217.4,217.55,222.3,216.3,217.6,217.9,219.85,173296,3809934300000.0,4288,72123,0.41619999999999996
2018-05-09,TAKE,EQ,217.9,217.6,233.8,217.6,232.0,231.0,228.44,1185884,27090072575000.0,14430,465973,0.3929
2018-05-10,TAKE,EQ,231.0,232.2,233.35,218.75,219.9,220.05,224.63,508116,11413888905000.0,8983,284812,0.5605
2018-05-11,TAKE,EQ,220.05,222.05,229.9,217.4,221.1,220.8,225.12,765928,17242860675000.0,18813,211691,0.27640000000000003
2018-05-14,TAKE,EQ,220.8,221.0,227.5,219.5,220.95,221.35,222.53,268118,5966334565000.0,7091,158742,0.5921000000000001
2018-05-15,TAKE,EQ,221.35,221.6,226.4,217.1,217.65,218.45,222.07,165465,3674526790000.0,4288,73007,0.4412
2018-05-16,TAKE,EQ,218.45,217.4,228.0,201.5,211.0,211.05,210.21,547334,11505293360000.0,8785,283838,0.5186
2018-05-17,TAKE,EQ,211.05,212.8,223.0,210.1,221.0,219.65,215.66,734417,15838241369999.998,11180,161295,0.21960000000000002
2018-05-18,TAKE,EQ,219.65,222.0,222.1,208.05,210.6,209.65,214.39,175879,3770613654999.9995,4623,88129,0.5011
2018-05-21,TAKE,EQ,209.65,210.75,213.0,203.75,205.0,205.75,208.47,192300,4008782890000.0,5025,93427,0.4858
2018-05-22,TAKE,EQ,205.75,206.5,220.4,204.0,218.95,218.2,212.74,225357,4794147610000.0,4209,109563,0.48619999999999997
2018-05-23,TAKE,EQ,218.2,218.2,226.55,216.6,218.7,220.95,222.38,403007,8962263100000.0,8963,177875,0.4414
2018-05-24,TAKE,EQ,220.95,220.0,224.65,216.0,222.6,222.65,221.16,232112,5133334580000.0,20674,121303,0.5226
2018-05-25,TAKE,EQ,222.65,222.0,237.8,220.3,232.0,232.6,232.91,806472,18783613520000.0,11758,368079,0.45640000000000003
2018-05-28,TAKE,EQ,232.6,233.05,241.05,227.8,237.8,238.4,234.44,567212,13297470030000.0,47091,350256,0.6175
2018-05-29,TAKE,EQ,238.4,237.7,240.5,232.2,237.0,238.85,237.71,225706,5365253265000.0,3266,107867,0.4779
2018-05-30,TAKE,EQ,238.85,234.0,240.0,231.85,235.5,235.65,237.38,231062,5484948540000.0,7540,109314,0.4731
2018-05-31,TAKE,EQ,235.65,237.0,250.0,234.85,248.25,248.3,244.93,1027477,25165507360000.0,13049,417402,0.4062
2018-06-01,TAKE,EQ,248.3,248.0,265.0,240.1,242.0,242.2,251.17,644089,16177672210000.0,11485,169862,0.2637
2018-06-04,TAKE,EQ,242.2,242.4,242.4,226.15,228.1,228.75,234.43,384236,9007814625000.0,9434,188985,0.4918
2018-06-05,TAKE,EQ,228.75,224.85,236.0,210.05,231.55,230.4,222.26,447116,9937407035000.0,12606,180770,0.4043
2018-06-06,TAKE,EQ,230.4,231.95,240.0,224.0,237.0,237.3,233.98,333222,7796827845000.0,10074,155672,0.4672
2018-06-07,TAKE,EQ,237.3,237.95,253.5,237.65,250.3,249.7,248.6,476543,11846715215000.0,11926,216591,0.4545
2018-06-08,TAKE,EQ,249.7,249.65,257.0,247.0,254.7,253.7,253.42,283654,7188259850000.0,9742,102736,0.3622
2018-06-11,TAKE,EQ,253.7,253.35,256.5,248.0,250.45,250.1,252.69,160712,4061002354999.9995,6094,60446,0.3761
2018-06-12,TAKE,EQ,250.1,251.5,283.1,248.05,272.8,272.05,272.72,1892937,51624362760000.0,34182,506493,0.2676
2018-06-13,TAKE,EQ,272.05,268.0,272.5,263.0,268.0,266.55,267.96,283236,7589651440000.001,6678,97895,0.3456
2018-06-14,TAKE,EQ,266.55,268.0,273.55,264.3,265.8,267.1,269.52,380793,10263214035000.0,12593,172293,0.4525
2018-06-15,TAKE,EQ,267.1,267.95,308.25,260.25,301.35,297.6,291.12,3977765,115801453915000.02,54571,771492,0.19399999999999998
2018-06-18,TAKE,EQ,297.6,299.9,300.05,278.0,280.8,280.2,286.66,655205,18782071360000.0,14387,209376,0.3196
2018-06-19,TAKE,EQ,280.2,276.2,286.6,260.85,269.0,266.65,272.47,924180,25181157880000.0,26396,310980,0.33649999999999997
2018-06-20,TAKE,EQ,266.65,269.05,271.5,254.15,256.1,258.5,260.63,753232,19631430340000.0,13262,327898,0.4353
2018-06-21,TAKE,EQ,258.5,258.5,263.7,243.25,247.0,246.45,252.8,551069,13931029560000.0,19399,249842,0.4534
2018-06-22,TAKE,EQ,246.45,246.5,259.0,245.4,253.95,253.8,254.43,1002533,25507176230000.0,28873,248969,0.2483
2018-06-25,TAKE,EQ,253.8,253.65,255.8,239.8,242.9,242.4,247.66,252664,6257558745000.0,5243,107840,0.4268
2018-06-26,TAKE,EQ,242.4,242.0,246.4,225.15,225.9,227.2,232.95,620476,14453964269999.998,11829,303671,0.4894
2018-06-27,TAKE,EQ,227.2,227.2,235.4,215.1,227.5,225.55,225.42,817646,18431096955000.0,16455,301713,0.369
2018-06-28,TAKE,EQ,225.55,228.8,229.7,220.5,229.0,228.7,225.53,837909,18897426420000.0,8914,570506,0.6809000000000001
2018-06-29,TAKE,EQ,228.7,230.8,236.8,225.95,226.5,227.05,230.62,379109,8742822340000.001,5398,165080,0.4354
2018-07-02,TAKE,EQ,227.05,229.15,233.65,220.1,220.4,221.85,226.86,269122,6105188135000.0,6428,104012,0.3865
2018-07-03,TAKE,EQ,221.85,221.0,238.05,218.2,234.95,234.5,231.78,633977,14694280944999.998,22833,218333,0.3444
2018-07-04,TAKE,EQ,234.5,234.9,243.0,232.5,238.5,237.4,238.94,422955,10106198410000.0,9961,127886,0.3024
2018-07-05,TAKE,EQ,237.4,239.55,240.15,231.0,232.6,232.4,233.66,506324,11830796440000.0,2926,416724,0.823
2018-07-06,TAKE,EQ,232.4,230.3,237.85,230.3,234.15,234.75,235.45,278021,6545904530000.0,24370,167430,0.6022
2018-07-09,TAKE,EQ,234.75,236.65,240.0,232.3,234.3,235.05,235.82,133182,3140721745000.0,15344,68797,0.5166
2018-07-10,TAKE,EQ,235.05,236.9,253.8,236.45,251.4,250.25,248.85,762791,18982171345000.0,19058,193820,0.2541
2018-07-11,TAKE,EQ,250.25,250.0,252.0,238.2,241.0,241.0,243.64,326984,7966630595000.0,12998,129809,0.397
2018-07-12,TAKE,EQ,241.0,241.95,247.45,236.6,240.6,240.95,241.52,199180,4810641570000.0,5875,60771,0.30510000000000004
2018-07-13,TAKE,EQ,240.95,241.3,244.0,230.8,231.5,232.55,236.54,176526,4175578715000.0,7401,78601,0.44530000000000003
2018-07-16,TAKE,EQ,232.55,231.0,242.0,225.0,236.0,236.65,235.34,335172,7888026815000.001,11065,119269,0.3558
2018-07-17,TAKE,EQ,236.65,235.75,240.05,230.05,240.0,239.25,236.92,308441,7307625200000.0,6282,141509,0.45880000000000004
2018-07-18,TAKE,EQ,239.25,240.25,244.95,236.0,243.5,243.25,240.73,573801,13813192165000.0,6760,431440,0.7519
2018-07-19,TAKE,EQ,243.25,243.25,245.0,235.3,236.1,237.2,240.91,184539,4445673105000.0,12135,94332,0.5112
2018-07-20,TAKE,EQ,237.2,237.0,238.7,209.0,209.8,214.85,222.86,350523,7811842245000.0,8228,215554,0.6149
2018-07-23,TAKE,EQ,214.85,212.9,212.9,171.9,201.7,200.6,188.75,2980015,56248142190000.0,41099,955321,0.32060000000000005
2018-07-24,TAKE,EQ,200.6,202.0,219.0,201.0,218.0,217.45,211.54,844131,17856697350000.0,16298,338668,0.4012
2018-07-25,TAKE,EQ,217.45,218.0,230.5,213.95,217.05,216.3,222.8,715401,15938833330000.002,10933,365561,0.511
2018-07-26,TAKE,EQ,216.3,217.8,224.95,217.8,222.65,223.2,221.83,187916,4168487045000.0005,7598,82300,0.438
2018-07-27,TAKE,EQ,223.2,224.75,226.2,201.55,210.0,209.05,210.47,443468,9333502565000.0,8496,185620,0.4186
2018-07-30,TAKE,EQ,209.05,210.0,213.0,203.1,206.6,207.65,208.41,224033,4669054760000.0,8114,102627,0.4581
2018-07-31,TAKE,EQ,207.65,206.0,206.0,192.05,201.9,202.85,200.61,487045,9770700385000.0,10641,244988,0.503
2018-08-01,TAKE,EQ,202.85,203.5,210.3,200.0,202.75,203.35,206.55,215487,4450954575000.0,5902,95204,0.4418
2018-08-02,TAKE,EQ,203.35,202.0,202.7,193.4,198.95,199.75,199.13,306902,6111330230000.0,8120,203693,0.6637000000000001
2018-08-03,TAKE,EQ,199.75,199.35,208.95,199.0,202.9,203.8,203.19,304398,6185077175000.0,7355,145146,0.4768
2018-08-06,TAKE,EQ,203.8,205.0,208.0,203.0,205.0,204.9,205.58,147843,3039421175000.0,3800,71536,0.4839
2018-08-07,TAKE,EQ,204.9,204.95,217.45,203.15,206.1,206.25,211.06,464257,9798485805000.0,7182,131220,0.2826
2018-08-08,TAKE,EQ,206.25,206.45,216.8,206.1,214.0,214.45,212.02,275898,5849700065000.0,7163,119231,0.4322
2018-08-09,TAKE,EQ,214.45,214.0,215.0,208.1,209.95,210.5,210.81,145256,3062135235000.0,5134,79710,0.5488000000000001
2018-08-10,TAKE,EQ,210.5,210.6,218.8,203.0,210.0,210.05,211.55,979892,20729752755000.0,17671,278032,0.2837
2018-08-13,TAKE,EQ,210.05,210.0,215.8,200.05,204.7,204.45,210.89,525211,11076389830000.0,8938,313374,0.5967
2018-08-14,TAKE,EQ,204.45,205.0,212.35,205.0,209.35,208.75,209.65,181530,3805850115000.0,6824,103987,0.5728
